ID,color,x,y,z,ScaleX,ScaleY,ScaleZ
1,blue,7795.592515325201,-2835.793006534999,0,0.01,0.01,0
2,blue,7579.206345051365,-2629.1104152663893,0,0.01,0.01,0
3,blue,7333.843336765914,-2458.0834086546233,0,0.01,0.01,0
4,blue,7064.317095459261,-2328.4152562874083,0,0.01,0.01,0
5,blue,6776.236175920654,-2248.5744537311066,0,0.01,0.01,0
6,blue,6478.010093937956,-2239.5119253701964,0,0.01,0.01,0
7,blue,6198.479723072879,-2339.2806337036704,0,0.01,0.01,0
8,blue,5977.652204923464,-2540.1335852334155,0,0.01,0.01,0
9,blue,5791.928094424749,-2774.90368718925,0,0.01,0.01,0
10,blue,5610.737334822755,-3013.265095489224,0,0.01,0.01,0
11,blue,5409.207456825744,-3234.340676393276,0,0.01,0.01,0
12,blue,5165.403757883813,-3406.305383670441,0,0.01,0.01,0
13,blue,4878.396548551972,-3484.7262898382014,0,0.01,0.01,0
14,blue,4595.342103407797,-3573.1214017040984,0,0.01,0.01,0
15,blue,4366.787157780721,-3764.903315963119,0,0.01,0.01,0
16,blue,4180.939853861006,-3999.403146544887,0,0.01,0.01,0
17,blue,4015.368471221998,-4248.856570409627,0,0.01,0.01,0
18,blue,3853.701549487188,-4500.886508094473,0,0.01,0.01,0
19,blue,3682.1934619719527,-4746.257403398563,0,0.01,0.01,0
20,blue,3487.032691090068,-4973.034268359517,0,0.01,0.01,0
21,blue,3255.058637776143,-5161.360884707761,0,0.01,0.01,0
22,blue,2982.5489429876875,-5282.671156039558,0,0.01,0.01,0
23,blue,2686.1670698213425,-5315.291439184286,0,0.01,0.01,0
24,blue,2396.020564549751,-5248.263133064395,0,0.01,0.01,0
25,blue,2146.4759798352134,-5085.147418416179,0,0.01,0.01,0
26,blue,1955.1509298439187,-4856.071896216942,0,0.01,0.01,0
27,blue,1832.8215797667617,-4583.7999166565805,0,0.01,0.01,0
28,blue,1734.2096077033857,-4301.1120035285885,0,0.01,0.01,0
29,blue,1621.1595229901761,-4023.8853400991743,0,0.01,0.01,0
30,blue,1492.2385269186418,-3753.6909036193124,0,0.01,0.01,0
31,blue,1343.8792797197198,-3493.7085892646282,0,0.01,0.01,0
32,blue,1169.3364137344047,-3250.6736890259804,0,0.01,0.01,0
33,blue,956.1993957743239,-3041.3102125776277,0,0.01,0.01,0
34,blue,686.7980989603749,-2918.0839966162366,0,0.01,0.01,0
35,blue,396.0183320079741,-2970.610479712087,0,0.01,0.01,0
36,blue,104.64709591110744,-3034.9352111196877,0,0.01,0.01,0
37,blue,-193.30275317341813,-3016.2584203719603,0,0.01,0.01,0
38,blue,-478.19565381632395,-2926.094620031742,0,0.01,0.01,0
39,blue,-739.7531114629605,-2781.1802056280044,0,0.01,0.01,0
40,blue,-974.1940650649898,-2595.3868488100625,0,0.01,0.01,0
