# x_m,y_m,w_tr_right_m,w_tr_left_m
37.8502,-35.4129,1.4999,1.4999
34.9696,-34.6096,1.5024,1.5024
32.1883,-33.5169,1.5294,1.5294
29.5959,-32.0291,1.5728,1.5728
27.1176,-30.3549,1.5887,1.5887
24.6584,-28.6522,1.5817,1.5817
22.1415,-27.0371,1.5547,1.5547
19.4941,-25.6493,1.5166,1.5166
16.6652,-24.6936,1.5021,1.5021
13.6952,-24.4111,1.5592,1.5592
10.7102,-24.5874,1.5925,1.5925
7.7245,-24.7506,1.5601,1.5601
4.7418,-24.5677,1.5170,1.5170
1.8073,-23.9987,1.5007,1.5007
-1.0419,-23.0935,1.5048,1.5048
-3.7701,-21.8717,1.5271,1.5271
-6.3316,-20.3320,1.5724,1.5724
-8.6560,-18.4560,1.6521,1.6521
-9.7015,-17.3862,1.6461,1.6461
-11.4636,-14.9786,1.5442,1.5442
-12.6063,-12.2248,1.5001,1.5001
-12.9179,-9.2626,1.5715,1.5715
-12.7385,-7.7794,1.7180,1.7180
-11.8647,-4.9338,1.5609,1.5609
-10.1433,-2.5127,1.5065,1.5065
-7.5938,-0.9945,1.6612,1.6612
-6.1675,-0.5498,1.6141,1.6141
-3.2132,-0.1117,1.5428,1.5428
-0.2248,-0.0019,1.5229,1.5229
2.7663,-0.0088,1.5200,1.5200
5.7573,-0.0031,1.5259,1.5259
8.7469,0.0870,1.5370,1.5370
11.7301,0.2994,1.5555,1.5555
14.6954,0.6848,1.5873,1.5873
17.6144,1.3273,1.6488,1.6488
21.7148,3.0906,1.5363,1.5363
23.7908,5.2038,1.5411,1.5411
24.5048,9.5406,1.5141,1.5141
24.3084,12.5220,1.5506,1.5506
24.5676,13.9866,1.6843,1.6843
26.0338,16.5415,1.5000,1.5000
28.4389,18.2992,1.5651,1.5651
31.1831,19.4765,1.6529,1.6529
32.6134,19.9175,1.6621,1.6621
35.5284,20.5806,1.6098,1.6098
38.4872,21.0129,1.5769,1.5769
41.4675,21.2615,1.5534,1.5534
44.4571,21.3362,1.5335,1.5335
47.4460,21.2336,1.5182,1.5182
50.4245,20.9640,1.5085,1.5085
53.3872,20.5540,1.5035,1.5035
56.3346,20.0453,1.5016,1.5016
59.2734,19.4882,1.5012,1.5012
62.2127,18.9340,1.5021,1.5021
65.1606,18.4282,1.5046,1.5046
68.1215,18.0051,1.5093,1.5093
71.0900,17.6379,1.5097,1.5097
74.0494,17.2059,1.5039,1.5039
76.9702,16.5670,1.5004,1.5004
79.7669,15.5206,1.5341,1.5341
82.1713,13.7798,1.7116,1.7116
83.1368,12.6439,1.5531,1.5531
84.4113,9.9494,1.5001,1.5001
85.1344,7.0493,1.5127,1.5127
85.5877,4.0932,1.5254,1.5254
85.9551,1.1248,1.5254,1.5254
86.3915,-1.8339,1.5127,1.5127
87.0878,-4.7405,1.5000,1.5000
88.3637,-7.4317,1.5675,1.5675
91.8391,-10.1543,1.5110,1.5110
94.7058,-10.9887,1.5056,1.5056
97.6693,-11.3829,1.5284,1.5284
100.6555,-11.5475,1.5465,1.5465
103.6459,-11.6101,1.5540,1.5540
106.6364,-11.6647,1.5505,1.5505
109.6243,-11.7990,1.5363,1.5363
112.5973,-12.1185,1.5146,1.5146
115.5128,-12.7736,1.5000,1.5000
118.2334,-13.9942,1.5506,1.5506
119.4078,-14.9144,1.7318,1.7318
121.2466,-17.2393,1.5330,1.5330
122.2955,-20.0333,1.5002,1.5002
122.8325,-22.9728,1.5189,1.5189
122.9515,-25.9590,1.5614,1.5614
122.6947,-28.9366,1.6186,1.6186
122.1005,-31.8656,1.6850,1.6850
121.6905,-33.3052,1.6357,1.6357
120.6499,-36.1074,1.5824,1.5824
119.3309,-38.7902,1.5417,1.5417
117.7436,-41.3236,1.5138,1.5138
115.8926,-43.6712,1.5007,1.5007
113.7798,-45.7856,1.5069,1.5069
111.4074,-47.6028,1.5402,1.5402
108.7891,-49.0401,1.6102,1.6102
107.3985,-49.5922,1.6980,1.6980
104.5213,-50.3931,1.6086,1.6086
101.5602,-50.7971,1.5521,1.5521
98.5714,-50.8648,1.5210,1.5210
95.5884,-50.6569,1.5057,1.5057
92.6289,-50.2273,1.5004,1.5004
89.7005,-49.6198,1.5007,1.5007
86.8052,-48.8701,1.5036,1.5036
83.9412,-48.0080,1.5078,1.5078
81.1042,-47.0603,1.5116,1.5116
78.2869,-46.0558,1.5140,1.5140
75.4788,-45.0255,1.5141,1.5141
72.6682,-44.0023,1.5120,1.5120
69.8430,-43.0201,1.5080,1.5080
66.9929,-42.1133,1.5036,1.5036
64.1159,-41.2952,1.5011,1.5011
61.2188,-40.5517,1.5001,1.5001
58.3071,-39.8669,1.5000,1.5000
55.3858,-39.2250,1.5004,1.5004
52.4585,-38.6102,1.5007,1.5007
49.5288,-38.0073,1.5010,1.5010
46.5998,-37.4010,1.5009,1.5009
43.6747,-36.7764,1.5006,1.5006
40.7568,-36.1186,1.5002,1.5002
