# e626a062-0240-46f7-9429-f7ae5bca936a
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -17.1153687; -43.3051571; -2.0480235; 0.0911059; 8.9699632; -0.8386026
1.9975274; -15.2882965; -44.0502835; -1.8732191; 0.0762397; 8.7812286; 0.9411400
3.9950549; -13.3747486; -44.5115664; -1.7463029; 0.0595737; 8.9927683; 1.3845933
5.9925823; -11.3540676; -44.7456168; -1.6270960; 0.0546155; 9.2952358; 1.1788423
7.9901097; -9.3493076; -44.7553018; -1.5265644; 0.0473490; 9.5452055; 0.8932380
9.9876372; -7.3498364; -44.5723336; -1.4330467; 0.0457544; 9.7303383; 0.7244419
11.9851646; -5.3899790; -44.2100195; -1.3436922; 0.0430457; 9.8779384; 0.4114534
13.9826920; -3.4637913; -43.6810706; -1.2640173; 0.0366791; 9.9607955; 0.1547276
15.9802195; -1.5812393; -43.0128711; -1.1980679; 0.0288724; 9.9917762; 0.0411529
17.9777469; 0.2560070; -42.2392177; -1.1492444; 0.0208062; 10.0000000; 0.0000000
19.9752743; 2.0622391; -41.3872220; -1.1124540; 0.0159830; 10.0000000; 0.0000000
21.9728018; 3.8395244; -40.4785877; -1.0856522; 0.0108221; 10.0000000; 0.0000000
23.9703292; 5.5985100; -39.5308829; -1.0696453; 0.0038620; 10.0000000; 0.0000000
25.9678567; 7.3507484; -38.5717904; -1.0745186; -0.0087191; 10.0000000; 0.0000000
27.9653841; 9.1190449; -37.6426394; -1.1028250; -0.0190539; 10.0000000; -0.0000001
29.9629115; 10.9212223; -36.7814593; -1.1501918; -0.0275849; 10.0000000; -0.0000003
31.9604390; 12.7673439; -36.0197906; -1.2105467; -0.0328370; 9.9999999; -0.0000005
33.9579664; 14.6575926; -35.3808156; -1.2803618; -0.0368051; 9.9999998; -0.0000006
35.9554938; 16.5929262; -34.8814734; -1.3572992; -0.0399900; 9.9999997; -0.0000005
37.9530213; 18.5607861; -34.5385087; -1.4402935; -0.0432925; 9.9999996; 0.0000000
39.9505487; 20.5552156; -34.3664531; -1.5300298; -0.0460617; 9.9999996; -0.0000002
41.9480761; 22.5519825; -34.3791015; -1.6251808; -0.0480124; 9.9999996; -0.0000021
43.9456036; 24.5409674; -34.5806493; -1.7171006; -0.0441608; 9.9999991; -2.7025785
45.9431310; 26.5097158; -34.9585959; -1.8029527; -0.0415053; 9.4447357; -2.1733318
47.9406584; 28.4270095; -35.4944641; -1.8823984; -0.0370342; 8.9733190; 0.9666673
49.9381859; 30.3000800; -36.1681349; -1.9462724; -0.0267025; 9.1859862; 0.7960245
51.9357133; 32.1253792; -36.9459650; -2.0023375; -0.0297282; 9.3574838; -1.0231733
53.9332407; 33.8957094; -37.8222026; -2.0548865; -0.0197672; 9.1364583; -2.2697795
55.9307682; 35.6719734; -38.7909154; -2.0806913; -0.0052508; 8.6259479; -2.4272734
57.9282956; 37.4119348; -39.7605869; -2.0714176; 0.0139798; 8.0442455; -2.6206759
59.9258230; 39.2018815; -40.6924257; -2.0229125; 0.0354538; 7.3647907; -2.6500727
61.9233505; 41.0281760; -41.4825475; -1.9263611; 0.0624899; 6.6070384; -1.1769840
63.9208779; 42.9752357; -42.0646089; -1.7942818; 0.0692275; 6.2410609; -0.9489251
65.9184053; 44.9688103; -42.3609911; -1.6384208; 0.0800826; 5.9295728; -0.1936975
67.9159328; 46.9119580; -42.3420905; -1.4816088; 0.0962694; 5.8639578; 2.6538994
69.9134602; 48.8479413; -41.9422564; -1.2495186; 0.1076063; 6.7073449; 2.1699918
71.9109877; 50.6298839; -41.1534231; -1.0657013; 0.0850173; 7.3251424; 1.8883965
73.9085151; 52.3201453; -40.0353308; -0.9172393; 0.0586617; 7.8231681; 1.7551647
75.9060425; 53.8601091; -38.7156402; -0.8098769; 0.0501009; 8.2591730; 1.4966276
77.9035700; 55.2536400; -37.2604533; -0.7224744; 0.0357216; 8.6135386; 1.4446094
79.9010974; 56.5166260; -35.7344805; -0.6602666; 0.0355945; 8.9422783; 1.3812590
81.8986248; 57.6729689; -34.1149597; -0.5757432; 0.0476140; 9.2456772; 1.3123815
83.8961523; 58.6812507; -32.3968877; -0.4876751; 0.0415576; 9.5249978; 1.2107468
85.8936797; 59.5488470; -30.5878179; -0.4083287; 0.0365515; 9.7756116; 1.1006660
87.8912071; 60.2772804; -28.7324635; -0.3420811; 0.0300245; 9.9979900; 0.0100614
89.8887346; 60.9002004; -26.8250251; -0.2930166; 0.0187350; 10.0000000; 0.0000000
91.8862620; 61.4484798; -24.9026567; -0.2651062; 0.0113167; 10.0000000; 0.0000000
93.8837894; 61.9496254; -22.9803941; -0.2461478; 0.0079584; 10.0000000; 0.0000000
95.8813169; 62.4197626; -21.0444661; -0.2304550; 0.0075712; 10.0000000; 0.0000000
97.8788443; 62.8640739; -19.1041451; -0.2246560; -0.0057001; 10.0000000; 0.0000000
99.8763717; 63.3367467; -17.1432322; -0.2540028; -0.0210332; 10.0000000; 0.0000000
101.8738992; 63.8856023; -15.2139590; -0.3030530; -0.0293152; 10.0000000; -0.0000007
103.8714266; 64.5453384; -13.3267522; -0.3720903; -0.0371306; 9.9999999; -0.0000002
105.8689540; 65.3198167; -11.5312138; -0.4390603; -0.0267693; 9.9999998; 0.0000009
107.8664815; 66.2129554; -9.7235237; -0.4719514; -0.0071316; 10.0000000; -0.0000000
109.8640089; 67.1184499; -7.9718159; -0.4805936; -0.0020881; 10.0000000; -0.4459867
111.8615363; 68.0529122; -6.1819595; -0.4794388; 0.0046747; 9.9105125; -0.8446342
113.8590638; 68.9641052; -4.3954543; -0.4607333; 0.0140659; 9.7387832; -2.1119130
115.8565912; 69.8308890; -2.5703543; -0.4227541; 0.0240022; 9.2955199; -2.2509418
117.8541187; 70.6018705; -0.7170279; -0.3613958; 0.0359656; 8.7985257; -2.3561469
119.8516461; 71.2300368; 1.1638147; -0.2789783; 0.0491622; 8.2462790; -2.4552790
121.8491735; 71.6711831; 3.1197902; -0.1572057; 0.0706770; 7.6283775; -1.4340924
123.8467010; 71.8380433; 5.0637654; -0.0125379; 0.0746903; 7.2431254; 0.3530696
125.8442284; 71.7248307; 7.0408008; 0.1231908; 0.0653670; 7.3398500; 2.2786042
127.8417558; 71.3422447; 9.0304288; 0.2572632; 0.0665996; 7.9357764; 1.8153927
129.8392833; 70.7180348; 10.9028505; 0.3855922; 0.0643661; 8.3802828; 1.6555688
131.8368107; 69.8449455; 12.7091136; 0.5140800; 0.0620667; 8.7660270; 1.4995285
133.8343381; 68.7509158; 14.3953588; 0.6364086; 0.0603497; 9.1013146; 1.2265867
135.8318656; 67.4712699; 15.9281742; 0.7537922; 0.0575003; 9.3666541; 1.1632615
137.8293930; 66.0190062; 17.3071092; 0.8687599; 0.0570345; 9.6115297; 1.0116274
139.8269204; 64.4234430; 18.5087152; 0.9815923; 0.0561819; 9.8195219; 0.5708925
141.8244479; 62.7012008; 19.5248661; 1.0936306; 0.0554371; 9.9349764; 0.3244620
143.8219753; 60.8866769; 20.3405992; 1.2024833; 0.0539216; 10.0000000; 0.0000000
145.8195027; 58.9848099; 20.9600276; 1.3088937; 0.0524429; 10.0000000; 0.0000000
147.8170302; 57.0328110; 21.3761651; 1.4120040; 0.0506068; 10.0000000; 0.0000000
149.8145576; 55.0521023; 21.5931309; 1.5106400; 0.0483857; 10.0000000; 0.0000000
151.8120850; 53.0524112; 21.6184030; 1.6047960; 0.0457477; 10.0000000; 0.0000000
153.8096125; 51.0623588; 21.4612443; 1.6934805; 0.0429283; 10.0000000; 0.0000000
155.8071399; 49.0945420; 21.1346319; 1.7760453; 0.0398591; 10.0000000; 0.0000000
157.8046673; 47.1547132; 20.6513086; 1.8530140; 0.0371406; 10.0000000; 0.0000000
159.8021948; 45.2581775; 20.0261110; 1.9245781; 0.0345260; 10.0000000; 0.0000000
161.7997222; 43.4108806; 19.2724412; 1.9909062; 0.0319700; 10.0000000; 0.0000000
163.7972497; 41.6116394; 18.4004926; 2.0524192; 0.0295593; 10.0000000; 0.0000000
165.7947771; 39.8690066; 17.4249613; 2.1089926; 0.0269776; 10.0000000; 0.0000000
167.7923045; 38.1828251; 16.3579963; 2.1599794; 0.0240674; 10.0000000; 0.0000000
169.7898320; 36.5468145; 15.2099524; 2.2040340; 0.0199971; 10.0000000; 0.0000000
171.7873594; 34.9605712; 13.9990986; 2.2406801; 0.0173096; 10.0000000; 0.0000000
173.7848868; 33.4168349; 12.7339705; 2.2732853; 0.0150041; 10.0000000; 0.0000000
175.7824143; 31.9124293; 11.4256283; 2.2982571; 0.0100149; 10.0000000; 0.0000000
177.7799417; 30.4325607; 10.0871787; 2.3108782; 0.0014866; 10.0000000; 0.0000000
179.7774691; 28.9489150; 8.7371487; 2.3041076; -0.0076615; 10.0000000; 0.0000000
181.7749966; 27.4496988; 7.4125057; 2.2827351; -0.0138639; 10.0000000; 0.0000000
183.7725240; 25.9061090; 6.1231510; 2.2489410; -0.0192055; 10.0000000; 0.0000000
185.7700514; 24.3299397; 4.9069471; 2.2051684; -0.0241849; 10.0000000; 0.0000000
187.7675789; 22.6912170; 3.7614363; 2.1564271; -0.0246131; 10.0000000; 0.0000000
189.7651063; 21.0049698; 2.7081549; 2.0972444; -0.0366894; 10.0000000; 0.0000000
191.7626337; 19.2716218; 1.7899164; 2.0149413; -0.0480761; 10.0000000; 0.0000000
193.7601612; 17.4115796; 1.0174964; 1.9132923; -0.0487318; 10.0000000; 0.0000000
