# bf091e70-fad1-4006-947d-24c0938f6db5
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 37.9340774; -34.9581240; 1.1543848; -0.0121672; 9.9999999; 0.0000004
1.9893814; 36.1176329; -34.1300553; 1.1326005; -0.0096192; 10.0000000; 0.0000002
3.9787628; 34.3243933; -33.2709581; 1.1167125; -0.0058470; 10.0000000; 0.0000000
5.9681443; 32.5457845; -32.3936227; 1.1100084; -0.0012783; 10.0000000; 0.0000000
7.9575257; 30.7675564; -31.5080592; 1.1075035; -0.0012265; 10.0000000; 0.0000000
9.9469071; 29.0032469; -30.6241264; 1.1052525; -0.0010202; 10.0000000; 0.0000000
11.9362885; 27.2167079; -29.7246116; 1.1039740; 0.0018485; 10.0000000; 0.0000000
13.9256699; 25.4363741; -28.8412596; 1.1207171; 0.0147702; 10.0000000; 0.0000000
15.9150514; 23.6072562; -27.9983694; 1.1591150; 0.0211040; 10.0000000; 0.0000000
17.9044328; 21.7744590; -27.2466748; 1.2060475; 0.0272761; 10.0000000; 0.0000000
19.8938142; 19.8739663; -26.5883272; 1.2728504; 0.0399898; 10.0000000; 0.0000000
21.8831956; 17.9725467; -26.0930407; 1.3600196; 0.0430296; 10.0000000; 0.0000000
23.8725770; 16.0364540; -25.7539609; 1.4292572; 0.0270362; 10.0000000; 0.0000000
25.8619585; 14.0524192; -25.5169919; 1.4705602; 0.0149325; 10.0000000; 0.0000000
27.8513399; 12.0779508; -25.3423581; 1.4922353; 0.0076147; 10.0000000; 0.0000000
29.8407213; 10.0755986; -25.1961323; 1.5009210; -0.0009172; 10.0000000; 0.0000000
31.8301027; 8.0909491; -25.0460626; 1.4849652; -0.0153209; 10.0000000; 0.0000000
33.8194841; 6.1068453; -24.8398095; 1.4488130; -0.0186611; 10.0000000; 0.0000000
35.8088656; 4.1435637; -24.5618751; 1.4110008; -0.0207527; 10.0000000; 0.0000000
37.7982470; 2.1884448; -24.2010636; 1.3635787; -0.0268550; 10.0000000; -0.7344362
39.7876284; 0.2578340; -23.7378849; 1.3057332; -0.0310948; 9.8528094; -0.9857424
41.7770098; -1.6444538; -23.1552557; 1.2400849; -0.0354610; 9.6517261; -1.1718330
43.7663912; -3.5011214; -22.4391048; 1.1630857; -0.0419464; 9.4070916; -1.6649516
45.7557727; -5.2905032; -21.5704028; 1.0717687; -0.0502873; 9.0481448; -1.7340137
47.7451541; -6.9837444; -20.5271754; 0.9623746; -0.0594083; 8.6585042; -1.6905913
49.7345355; -8.5414794; -19.2925856; 0.8361851; -0.0674159; 8.2609463; -1.5919966
51.7239169; -9.9141005; -17.8665539; 0.6927905; -0.0779833; 7.8682308; -1.3673880
53.7132983; -11.0585769; -16.2354677; 0.5285843; -0.0836417; 7.5145555; -0.7565454
55.7026798; -11.9170797; -14.4429313; 0.3651987; -0.0821681; 7.3115271; -0.7451176
57.6920612; -12.4740922; -12.5165449; 0.1968557; -0.0852949; 7.1058978; -0.7302945
59.6814426; -12.6904485; -10.5540698; 0.0189329; -0.0966105; 6.8984139; -0.7308779
61.6708240; -12.5294421; -8.5411873; -0.1809752; -0.1039742; 6.6843193; -0.4043399
63.6602054; -11.9603668; -6.6446407; -0.4095827; -0.1252692; 6.5628768; -0.2401032
65.6495869; -10.9690464; -4.9668456; -0.6573075; -0.1248308; 6.4896870; -0.5243469
67.6389683; -9.5767862; -3.5471073; -0.8855274; -0.1000750; 6.3269097; -0.1973973
69.6283497; -7.9453624; -2.4468240; -1.0644087; -0.0845234; 6.2645342; 0.8148349
71.6177311; -6.1219480; -1.6221504; -1.2229890; -0.0712623; 6.5181611; 1.5632494
73.6071125; -4.2032191; -1.0694083; -1.3545614; -0.0612009; 6.9789844; 1.4220286
75.5964940; -2.2398838; -0.7527026; -1.4624042; -0.0468889; 7.3732040; 1.3473254
77.5858754; -0.2629053; -0.6206700; -1.5412493; -0.0328372; 7.7281838; 1.4792762
79.5752568; 1.7252777; -0.6172471; -1.5919588; -0.0177639; 8.1000318; 1.9560318
81.5646382; 3.7144262; -0.6840742; -1.6117098; -0.0024114; 8.5669774; -0.0628309
83.5540196; 5.6991530; -0.7607282; -1.6024366; 0.0116035; 8.5523746; -0.6838549
85.5434011; 7.6945636; -0.7919780; -1.5663637; 0.0235562; 8.3917945; -0.7811096
87.5327825; 9.6833276; -0.7309857; -1.5110807; 0.0320961; 8.2045332; -0.7949611
89.5221639; 11.6664752; -0.5425295; -1.4378300; 0.0416823; 8.0094571; -0.7927874
91.5115453; 13.6232947; -0.1907437; -1.3445715; 0.0516569; 7.8100634; -0.7954900
93.5009267; 15.5349229; 0.3586612; -1.2350140; 0.0585459; 7.6047370; -0.7702229
95.4903082; 17.3764540; 1.1295317; -1.1117711; 0.0647256; 7.4005061; -0.7392638
97.4796896; 19.0920185; 2.1266223; -0.9731054; 0.0745925; 7.1990371; -0.6252815
99.4690710; 20.6687576; 3.3774663; -0.8282633; 0.0715253; 7.0241219; -2.9238406
101.4584524; 22.0345095; 4.8262813; -0.6855056; 0.0650950; 6.1404414; -1.5355938
103.4478338; 23.1641632; 6.3719697; -0.5733521; 0.0861612; 5.6209658; 2.4920675
105.4372153; 24.0669545; 8.1675236; -0.3533190; 0.0970121; 6.4428722; 2.1952550
107.4265967; 24.6329859; 10.0596872; -0.2515927; 0.0216831; 7.0883708; -0.2634449
109.4159781; 25.1419442; 12.0989896; -0.2542720; -0.0274220; 7.0140442; -2.9786920
111.4053595; 25.7172821; 13.9150673; -0.3964675; -0.1484644; 6.1110807; -0.8187687
113.3947409; 26.7427509; 15.5932059; -0.6754708; -0.0792201; 5.8384605; -0.2033757
115.3841224; 28.0351068; 17.0445673; -0.7729456; -0.0455821; 5.7687466; 0.9438052
117.3735038; 29.5290608; 18.4328110; -0.8745128; -0.0546707; 6.0855250; 2.4969328
119.3628852; 31.1314760; 19.6216208; -0.9941576; -0.0656376; 6.8533435; 2.2265158
121.3522666; 32.8647612; 20.5949540; -1.1224859; -0.0621590; 7.4717532; 2.1862894
123.3416480; 34.7088790; 21.3476235; -1.2426898; -0.0574365; 8.0327967; 2.0037569
125.3310295; 36.6233577; 21.8847927; -1.3493316; -0.0499863; 8.5145932; 1.7398136
127.3204109; 38.5837321; 22.2289237; -1.4427300; -0.0439085; 8.9118237; 1.6163060
129.3097923; 40.5630847; 22.4005033; -1.5238665; -0.0376496; 9.2656085; 1.3691037
131.2991737; 42.5520794; 22.4237857; -1.5920822; -0.0309187; 9.5550426; 1.2190976
133.2885551; 44.5392593; 22.3247134; -1.6468919; -0.0241430; 9.8055770; 0.9678033
135.2779366; 46.5181192; 22.1304954; -1.6881152; -0.0174157; 10.0000000; 0.0000000
137.2673180; 48.4905514; 21.8674162; -1.7166080; -0.0112039; 10.0000000; 0.0000000
139.2566994; 50.4567855; 21.5606367; -1.7321791; -0.0041685; 10.0000000; 0.0000000
141.2460808; 52.4184645; 21.2379544; -1.7330195; 0.0029864; 10.0000000; 0.0000000
143.2354622; 54.3838777; 20.9252628; -1.7226393; 0.0074582; 10.0000000; 0.0000000
145.2248437; 56.3533895; 20.6408764; -1.7056125; 0.0082464; 10.0000000; 0.0000000
147.2142251; 58.3255617; 20.3888408; -1.6907228; 0.0063964; 10.0000000; 0.0000000
149.2036065; 60.3030122; 20.1602158; -1.6826355; 0.0017073; 10.0000000; 0.0000000
151.1929879; 62.2791535; 19.9383905; -1.6842759; -0.0035335; 10.0000000; 0.0000000
153.1823693; 64.2528967; 19.7027535; -1.6968053; -0.0091633; 10.0000000; 0.0000000
155.1717508; 66.2229496; 19.4307612; -1.7212429; -0.0153858; 10.0000000; 0.0000000
157.1611322; 68.1753950; 19.1015707; -1.7547515; -0.0168464; 10.0000000; -0.1430957
159.1505136; 70.1294654; 18.7049755; -1.7870271; -0.0172715; 9.9714922; -0.8600859
161.1398950; 72.0591524; 18.2385236; -1.8326588; -0.0286051; 9.7983967; -0.8598928
163.1292764; 73.9791282; 17.6574323; -1.8992832; -0.0367672; 9.6222278; -0.8851529
165.1186579; 75.8301069; 16.9436597; -1.9820874; -0.0477831; 9.4374496; -1.9332806
167.1080393; 77.6348875; 16.0430010; -2.0893581; -0.0600557; 9.0207200; -1.4574707
169.0974207; 79.2870497; 14.9512094; -2.2245864; -0.0729962; 8.6933572; -1.8417883
171.0868021; 80.7556646; 13.6501795; -2.3656401; -0.0712665; 8.2611392; -4.4544581
173.0761835; 82.0401949; 12.1348145; -2.5123732; -0.0745897; 7.1079666; -0.7019833
175.0655650; 83.0904437; 10.4623790; -2.6426166; -0.0559496; 6.9087020; 0.7022561
177.0549464; 83.9522129; 8.6710388; -2.7407394; -0.0466009; 7.1080429; 1.6952947
179.0443278; 84.6484358; 6.7927339; -2.8315635; -0.0429289; 7.5676581; 1.2861395
181.0337092; 85.1837004; 4.8925360; -2.8960076; -0.0232436; 7.8985248; 0.2463178
183.0230906; 85.6371177; 2.9371393; -2.9259593; -0.0067591; 7.9603225; -0.7610623
185.0124721; 86.0599369; 0.9920560; -2.9239254; 0.0090311; 7.7677955; -2.6279104
187.0018535; 86.5276614; -0.9762314; -2.8854330; 0.0305967; 7.0627767; -1.8792814
188.9912349; 87.1061231; -2.8695472; -2.7940025; 0.0623285; 6.5119582; -0.9337600
190.9806163; 87.9023700; -4.6602328; -2.6438667; 0.0873427; 6.2201600; -0.8033562
192.9699977; 88.9964664; -6.3103108; -2.4683704; 0.0872087; 5.9576863; -0.1620236
194.9593792; 90.3558610; -7.7492532; -2.3028420; 0.0814901; 5.9033357; 0.8211927
196.9487606; 91.9496120; -8.9609879; -2.1400022; 0.0763332; 6.1738727; 2.3903243
198.9381420; 93.6972320; -9.9119743; -2.0026949; 0.0630413; 6.9012490; 2.1090288
200.9275234; 95.5527852; -10.6350590; -1.8847371; 0.0548903; 7.4845550; 1.8076036
202.9169048; 97.4608826; -11.1490866; -1.7871256; 0.0427618; 7.9505087; 1.4518139
204.9062863; 99.4215460; -11.5037284; -1.7176024; 0.0276176; 8.3058420; 1.0355733
206.8956677; 101.3867133; -11.7446912; -1.6704190; 0.0203007; 8.5502814; 1.6554942
208.8850491; 103.3670259; -11.9077617; -1.6392430; 0.0094850; 8.9271570; 1.7909480
210.8744305; 105.3681910; -12.0341217; -1.6324203; -0.0023763; 9.3177191; -2.1740186
212.8638119; 107.3533474; -12.1686398; -1.6481523; -0.0134686; 8.8413791; -2.1466285
214.8531934; 109.3525287; -12.3587231; -1.6867500; -0.0245721; 8.3444028; -2.1152847
216.8425748; 111.3089218; -12.6428713; -1.7478054; -0.0383107; 7.8238637; -0.9512206
218.8319562; 113.2796510; -13.0839156; -1.8385258; -0.0520232; 7.5781371; -0.8325591
220.8213376; 115.1491282; -13.7143807; -1.9599307; -0.0705553; 7.3563310; -0.7416620
222.8107190; 116.9049553; -14.5876605; -2.1063521; -0.0762492; 7.1529511; -0.3662709
224.8001005; 118.5333118; -15.7283348; -2.2559638; -0.0720834; 7.0503478; 1.9114321
226.7894819; 119.9690341; -17.0784043; -2.3940738; -0.0689508; 7.5705045; 1.9923379
228.7788633; 121.2201974; -18.6278493; -2.5298092; -0.0669786; 8.0771022; 1.8070098
230.7682447; 122.2580400; -20.3406921; -2.6640573; -0.0671785; 8.5105372; 1.4906963
232.7576261; 123.0508932; -22.1564372; -2.7951725; -0.0654877; 8.8521393; 1.3430018
234.7470076; 123.6034322; -24.0668301; -2.9241888; -0.0634375; 9.1489811; 1.2269497
236.7363890; 123.9113754; -26.0395699; -3.0486297; -0.0613575; 9.4119922; 0.9818018
238.7257704; 123.9775388; -28.0211169; 3.1165145; -0.0579396; 9.6172737; 0.9095757
240.7151518; 123.8144148; -30.0057491; 3.0036226; -0.0549084; 9.8036187; 0.8038846
242.7045332; 123.4357418; -31.9596880; 2.8978026; -0.0516155; 9.9654105; 0.1577001
244.6939147; 122.8583769; -33.8639796; 2.7973278; -0.0494967; 9.9968424; 0.0158700
246.6832961; 122.0960359; -35.7022613; 2.7000052; -0.0481629; 10.0000000; 0.0000000
248.6726775; 121.1613217; -37.4594328; 2.6060056; -0.0464387; 10.0000000; 0.0000000
250.6620589; 120.0663552; -39.1252264; 2.5146315; -0.0450978; 10.0000000; 0.0000000
252.6514403; 118.8339278; -40.6765574; 2.4260919; -0.0444114; 10.0000000; 0.0000000
254.6408218; 117.4588588; -42.1263509; 2.3401409; -0.0415612; 10.0000000; 0.0000000
256.6302032; 115.9763621; -43.4503099; 2.2602620; -0.0389050; 10.0000000; 0.0000000
258.6195846; 114.4017636; -44.6518468; 2.1858963; -0.0360861; 10.0000000; 0.0000000
