# b75ed3c0-4608-4c00-972d-bcc1b1fb4616
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -23.8077477; -32.1501795; -2.4575286; 0.0710912; 9.5253784; -2.8377597
1.9882161; -22.4458760; -33.6012633; -2.3227718; 0.0576605; 8.9133986; -1.3172651
3.9764321; -20.9503478; -34.8664979; -2.2244636; 0.0504835; 8.6145609; 0.2970851
5.9646482; -19.3066309; -35.9967966; -2.1214633; 0.0516917; 8.6828566; 2.1884241
7.9528643; -17.5503405; -36.9540088; -2.0179961; 0.0521374; 9.1702846; 1.8992965
9.9410804; -15.7269803; -37.7195049; -1.9209126; 0.0456812; 9.5732201; 1.4031948
11.9292964; -13.8189037; -38.3229303; -1.8355380; 0.0386175; 9.8603373; 0.5972743
13.9175125; -11.8803245; -38.7746005; -1.7661388; 0.0317496; 9.9800437; 0.1002727
15.9057286; -9.9080794; -39.1029528; -1.7066781; 0.0277868; 10.0000000; 0.0000000
17.8939447; -7.9410956; -39.3195231; -1.6548111; 0.0269287; 10.0000000; 0.0000000
19.8821607; -5.9593386; -39.4292888; -1.5956676; 0.0322756; 10.0000000; 0.0000000
21.8703768; -3.9819579; -39.4152540; -1.5324790; 0.0305748; 10.0000000; 0.0000000
23.8585929; -1.9989417; -39.2810557; -1.4750106; 0.0276187; 10.0000000; 0.0000000
25.8468090; -0.0229431; -39.0373185; -1.4216677; 0.0259809; 10.0000000; 0.0000000
27.8350250; 1.9465747; -38.6876506; -1.3668328; 0.0305042; 10.0000000; 0.0000000
29.8232411; 3.8897438; -38.2169263; -1.2959100; 0.0403076; 10.0000000; 0.0000000
31.8114572; 5.7849434; -37.5927963; -1.2056346; 0.0517936; 10.0000000; -0.0000018
33.7996732; 7.5983084; -36.7814698; -1.0934955; 0.0557357; 9.9999997; -0.0000027
35.7878893; 9.2856168; -35.7984385; -0.9974824; 0.0430669; 9.9999991; -0.0000028
37.7761054; 10.9176137; -34.6530833; -0.9249250; 0.0295763; 9.9999986; 0.0000039
39.7643215; 12.4585241; -33.4232870; -0.8707792; 0.0256898; 9.9999993; 0.0000023
41.7525375; 13.9494912; -32.1043858; -0.8244043; 0.0198706; 9.9999998; 0.0000012
43.7407536; 15.3968863; -30.7170098; -0.7906749; 0.0138131; 10.0000000; 0.0000000
45.7289697; 16.7936441; -29.3032526; -0.7703273; 0.0068416; 10.0000000; 0.0000000
47.7171858; 18.1783951; -27.8635641; -0.7647535; -0.0026130; 10.0000000; 0.0000000
49.7054018; 19.5598576; -26.4428563; -0.7821961; -0.0152353; 10.0000000; -0.0000002
51.6936179; 20.9923872; -25.0497417; -0.8183995; -0.0210260; 10.0000000; -0.0000006
53.6818340; 22.4740608; -23.7250038; -0.8659003; -0.0263792; 9.9999999; -0.0000010
55.6700500; 24.0157389; -22.4854066; -0.9229260; -0.0313870; 9.9999996; -0.0000019
57.6582661; 25.6460107; -21.3332457; -0.9895376; -0.0353715; 9.9999993; -0.0000350
59.6464822; 27.3443200; -20.3037556; -1.0629278; -0.0378167; 9.9999923; -0.0207673
61.6346983; 29.1103044; -19.4064241; -1.1386181; -0.0383486; 9.9958625; -0.1098596
63.6229143; 30.9440950; -18.6429783; -1.2133496; -0.0364500; 9.9739870; 0.0662345
65.6111304; 32.8155781; -18.0193328; -1.2852161; -0.0367467; 9.9871815; 0.0644284
67.5993465; 34.7414768; -17.5281900; -1.3550224; -0.0304309; 9.9999995; 0.0000024
69.5875626; 36.7060112; -17.1517608; -1.4042702; -0.0194037; 10.0000000; 0.0000002
71.5757786; 38.6731149; -16.8547515; -1.4352563; -0.0122001; 10.0000000; 0.0000000
73.5639947; 40.6585191; -16.6045703; -1.4534895; -0.0055724; 10.0000000; 0.0000000
75.5522108; 42.6308749; -16.3777713; -1.4563278; 0.0029283; 10.0000000; 0.0000000
77.5404269; 44.6253018; -16.1390917; -1.4462263; 0.0061417; 10.0000000; -0.0000000
79.5286429; 46.5794386; -15.8800349; -1.4289398; 0.0155891; 10.0000000; -0.0000000
81.5168590; 48.5275307; -15.5582998; -1.3793713; 0.0333873; 10.0000000; 0.0000000
83.5050751; 50.4398588; -15.1150627; -1.3041062; 0.0413393; 10.0000000; 0.0000000
85.4932911; 52.3494204; -14.5105151; -1.2283970; 0.0310841; 10.0000000; 0.0000000
87.4815072; 54.2211984; -13.7823866; -1.1731454; 0.0238246; 10.0000000; 0.0000000
89.4697233; 56.0499992; -12.9779715; -1.1473898; 0.0006669; 10.0000000; -1.5350377
91.4579394; 57.8276588; -12.1873238; -1.1574112; -0.0022654; 9.6899962; -2.5414309
93.4461554; 59.6632446; -11.3795282; -1.1512207; 0.0117697; 9.1536987; -3.3597251
95.4343715; 61.4744155; -10.5217002; -1.0940294; 0.0475305; 8.3922870; -3.4823964
97.4225876; 63.2375564; -9.4592167; -0.9500932; 0.0873026; 7.5221651; -3.3556952
99.4108037; 64.6786337; -8.1891743; -0.7239244; 0.1526040; 6.5756576; -2.7853390
101.3990197; 65.7533472; -6.5617939; -0.4699046; 0.0882120; 5.6712928; -0.6800341
103.3872358; 66.4792921; -4.7267685; -0.2776440; 0.1059322; 5.4276562; -0.0146891
105.3754519; 66.8226251; -2.7690656; -0.0745087; 0.0959082; 5.4222728; 0.8169501
107.3636679; 66.7781904; -0.7669879; 0.1185036; 0.0913311; 5.7139819; 2.2950872
109.3518840; 66.3809280; 1.1810936; 0.2756098; 0.0666882; 6.4634238; 1.9760196
111.3401001; 65.7286655; 3.0570104; 0.3870353; 0.0466713; 7.0450944; 1.9381450
113.3283162; 64.8977748; 4.8758366; 0.4650305; 0.0314310; 7.5723350; 1.8586042
115.3165322; 63.9592713; 6.6307443; 0.5119165; 0.0156269; 8.0455497; 2.2463886
117.3047483; 62.9622131; 8.3565348; 0.5343866; 0.0098303; 8.5827433; 2.6193933
119.2929644; 61.9394040; 10.0498649; 0.5513811; 0.0064494; 9.1694778; 3.2070410
121.2811805; 60.8912567; 11.7390445; 0.5568732; -0.0009978; 9.8403203; 0.7967184
123.2693965; 59.8448033; 13.4262429; 0.5544314; 0.0007869; 10.0000000; 0.0000000
125.2576126; 58.7956803; 15.1117177; 0.5605850; 0.0052341; 10.0000000; 0.0000000
127.2458287; 57.7270590; 16.7897785; 0.5747569; 0.0089571; 10.0000000; -3.0834035
129.2340448; 56.6366132; 18.4386834; 0.5941989; 0.0103017; 9.3669128; -3.2714761
131.2222608; 55.5061505; 20.0743269; 0.6165436; 0.0149016; 8.6446661; -2.8136104
133.2104769; 54.3239943; 21.6777365; 0.6578163; 0.0261817; 7.9713312; -2.8774537
135.1986930; 53.0533044; 23.2209020; 0.7262698; 0.0445148; 7.2180414; -2.3890679
137.1869090; 51.6509235; 24.6412201; 0.8405133; 0.0687295; 6.5268795; -0.7895052
139.1751251; 50.0658743; 25.8624137; 0.9943365; 0.0873591; 6.2817785; -0.7955505
141.1633412; 48.2970614; 26.7854304; 1.1904800; 0.1037688; 6.0247231; -0.6959097
143.1515573; 46.4127053; 27.3189105; 1.4027408; 0.1157843; 5.7905139; -0.3565032
145.1397733; 44.4396017; 27.4122246; 1.6482242; 0.1272760; 5.6667839; -0.3920103
147.1279894; 42.5019359; 27.0217929; 1.8863736; 0.1140444; 5.5275345; -0.3320070
149.1162055; 40.7007431; 26.2044396; 2.1038237; 0.1037046; 5.4067952; 0.4580814
151.1044216; 39.1012993; 25.0364332; 2.2931105; 0.0838677; 5.5726981; 2.4455764
153.0926376; 37.7053796; 23.6104043; 2.4310639; 0.0552648; 6.3858933; 1.9634698
155.0808537; 36.4918427; 22.0542355; 2.5222801; 0.0389604; 6.9704546; 1.9013754
157.0690698; 35.3868664; 20.3826183; 2.5887386; 0.0265644; 7.4931921; 1.8132144
159.0572858; 34.3782030; 18.6647790; 2.6282425; 0.0134560; 7.9597771; 2.3418500
161.0455019; 33.4119734; 16.9122933; 2.6432443; 0.0015692; 8.5246853; 2.6263369
163.0337180; 32.4577380; 15.1692361; 2.6340059; -0.0108185; 9.1166721; 2.8514864
165.0219341; 31.4655410; 13.4460582; 2.6000472; -0.0236968; 9.7186651; 0.1570735
167.0101501; 30.3967245; 11.7715461; 2.5457309; -0.0284361; 9.7507458; -0.7032337
168.9983662; 29.2395409; 10.1647795; 2.4888631; -0.0297944; 9.6062835; -0.3966242
170.9865823; 27.9840410; 8.6242922; 2.4252018; -0.0342485; 9.5238403; 1.3902248
172.9747984; 26.6277492; 7.1729030; 2.3539405; -0.0372668; 9.8097741; 0.9476604
174.9630144; 25.1677415; 5.8256367; 2.2772650; -0.0400434; 9.9999988; 0.0000045
176.9512305; 23.6027483; 4.5970354; 2.1943785; -0.0432277; 9.9999997; 0.0000010
178.9394466; 21.9428386; 3.5079161; 2.1085523; -0.0432542; 9.9999999; 0.0000005
180.9276627; 20.1949506; 2.5645961; 2.0233423; -0.0417883; 10.0000000; 0.0000002
182.9158787; 18.3714510; 1.7679469; 1.9429878; -0.0387046; 10.0000000; 0.0000000
184.9040948; 16.4973030; 1.1143886; 1.8714275; -0.0334227; 10.0000000; 0.0000000
186.8923109; 14.5824640; 0.5862959; 1.8099865; -0.0285243; 10.0000000; 0.0000000
188.8805269; 12.6346879; 0.1665061; 1.7576459; -0.0239108; 10.0000000; 0.0000000
190.8687430; 10.6755840; -0.1596262; 1.7156735; -0.0184365; 10.0000000; 0.0000000
192.8569591; 8.7031644; -0.4141098; 1.6844155; -0.0128311; 10.0000000; 0.0000000
194.8451752; 6.7225345; -0.6183499; 1.6645607; -0.0074334; 10.0000000; 0.0000000
196.8333912; 4.7407891; -0.7905007; 1.6505975; -0.0066360; 10.0000000; 0.0000000
198.8216073; 2.7518004; -0.9368542; 1.6382636; -0.0055335; 10.0000000; 0.0000000
200.8098234; 0.7743069; -1.0605210; 1.6287054; -0.0041239; 10.0000000; 0.0000000
202.7980395; -1.2274010; -1.1664703; 1.6176447; -0.0070909; 10.0000000; 0.0000000
204.7862555; -3.2048657; -1.2441278; 1.6036181; -0.0035395; 10.0000000; 0.0000000
206.7744716; -5.1799702; -1.3094020; 1.6075649; 0.0054545; 10.0000000; 0.0000000
208.7626877; -7.1549751; -1.3854716; 1.6075328; -0.0050985; 10.0000000; 0.0000000
210.7509037; -9.1569069; -1.4432024; 1.5891331; -0.0130625; 10.0000000; 0.0000000
212.7391198; -11.1539493; -1.4475359; 1.5532720; -0.0232573; 10.0000000; 0.0000000
214.7273359; -13.1422220; -1.3612986; 1.4991206; -0.0307609; 10.0000000; -2.1475734
216.7155520; -15.0931765; -1.1642607; 1.4464506; -0.0167629; 9.5634889; -3.0183799
218.7037680; -17.0680276; -0.8990772; 1.4350382; 0.0031679; 8.9139182; -3.0258129
220.6919841; -19.0404764; -0.6434355; 1.4523500; 0.0140062; 8.2113335; -2.9133014
222.6802002; -21.0375693; -0.4429592; 1.4946739; 0.0300567; 7.4727138; -2.7461392
224.6684163; -23.0259636; -0.3648622; 1.5758147; 0.0517456; 6.7023590; -2.8739737
226.6566323; -25.0373146; -0.4947813; 1.7041080; 0.0799337; 5.7873530; -1.5625619
228.6448484; -26.9872287; -0.9475503; 1.9039519; 0.1113327; 5.2230291; -0.4044009
230.6330645; -28.7259803; -1.7793556; 2.1380238; 0.1369198; 5.0667504; 0.4535025
232.6212806; -30.2284326; -3.0381687; 2.3849319; 0.1052694; 5.2416869; 0.1166940
234.6094966; -31.4373956; -4.6191002; 2.5931823; 0.1067279; 5.2857646; -0.2710804
236.5977127; -32.2972216; -6.4208060; 2.7941193; 0.0947452; 5.1827961; 0.6359638
238.5859288; -32.7928916; -8.3582482; 2.9900070; 0.0974414; 5.4212768; 2.4359153
240.5741448; -32.9115102; -10.3341945; -3.1156712; 0.0802263; 6.2511194; 2.1385374
242.5623609; -32.7178038; -12.2930643; -2.9771697; 0.0595564; 6.8978433; 2.1336445
244.5505770; -32.2900212; -14.2398000; -2.8804372; 0.0387354; 7.4876255; 2.1074141
246.5387931; -31.7085040; -16.1523190; -2.8165289; 0.0262463; 8.0277347; 2.4568579
248.5270091; -31.0245338; -18.0331107; -2.7714486; 0.0189866; 8.6147579; 2.8080332
250.5152252; -30.2731994; -19.8771376; -2.7392461; 0.0153932; 9.2401302; 3.2628336
252.5034413; -29.4709643; -21.6828805; -2.7072164; 0.0171203; 9.9173809; 0.3442514
254.4916574; -28.6143810; -23.4685801; -2.6867161; 0.0020522; 9.9861572; 0.0695761
256.4798734; -27.7554362; -25.2341408; -2.6914461; -0.0000836; 10.0000000; -0.0000001
258.4680895; -26.8722503; -27.0473398; -2.6823069; 0.0088021; 10.0000000; -0.0000035
260.4563056; -25.9610615; -28.8256911; -2.6481788; 0.0261621; 9.9999993; -0.0000020
262.4445217; -24.9428117; -30.5716015; -2.5714168; 0.0479880; 9.9999989; -2.3305172
264.4327377; -23.8077477; -32.1501795; -2.4575286; 0.0710912; 9.5253784; -2.8377597
