# 86e0cb4f-6bf4-4945-884d-b1f056974769
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 66.9149982; -44.4670158; -0.6908398; -0.0158019; 9.9999998; 0.0000006
1.9961183; 68.2080345; -42.9531343; -0.7231864; -0.0165973; 9.9999999; 0.0000003
3.9922366; 69.5531293; -41.4794542; -0.7563235; -0.0163047; 10.0000000; 0.0000000
5.9883548; 70.9500273; -40.0458421; -0.7883513; -0.0156553; 10.0000000; 0.0000000
7.9844731; 72.3846841; -38.6604510; -0.8163057; -0.0124191; 10.0000000; 0.0000000
9.9805914; 73.8565512; -37.3077324; -0.8372852; -0.0078962; 10.0000000; 0.0000000
11.9767097; 75.3466326; -35.9808249; -0.8473290; -0.0021741; 10.0000000; 0.0000000
13.9728280; 76.8458038; -34.6576483; -0.8461733; 0.0033707; 10.0000000; 0.0000000
15.9689463; 78.3318945; -33.3279924; -0.8336491; 0.0092999; 10.0000000; 0.0000000
17.9650645; 79.7931881; -31.9708974; -0.8090531; 0.0153244; 10.0000000; 0.0000000
19.9611828; 81.2115855; -30.5704767; -0.7725306; 0.0212399; 10.0000000; 0.0000000
21.9573011; 82.5677149; -29.1143868; -0.7264830; 0.0234999; 10.0000000; 0.0000000
23.9534194; 83.8640904; -27.5855031; -0.6805248; 0.0222305; 10.0000000; 0.0000000
25.9495377; 85.0812564; -26.0120354; -0.6361791; 0.0225633; 10.0000000; 0.0000000
27.9456560; 86.2385618; -24.3675939; -0.5906493; 0.0214872; 10.0000000; 0.0000000
29.9417742; 87.3138570; -22.6907065; -0.5505300; 0.0191100; 10.0000000; 0.0000000
31.9378925; 88.3415460; -20.9489387; -0.5179744; 0.0123704; 10.0000000; 0.0000000
33.9340108; 89.3055881; -19.2174276; -0.4985082; 0.0117978; 10.0000000; 0.0000000
35.9301291; 90.2240402; -17.4688188; -0.4657917; 0.0211463; 10.0000000; 0.0000000
37.9262474; 91.0641392; -15.6903126; -0.4142211; 0.0289868; 10.0000000; -0.5653494
39.9223657; 91.8333449; -13.8231302; -0.3815587; -0.0080614; 9.8865055; -0.9843203
41.9184839; 92.6320363; -11.9713699; -0.4519452; -0.0617544; 9.6857293; -2.2632692
43.9146022; 93.6292656; -10.2273466; -0.5917544; -0.0760160; 9.2074886; -2.9746704
45.9107205; 94.8465594; -8.6804471; -0.7377247; -0.0652546; 8.5382819; -2.5048357
47.9068388; 96.2673403; -7.2834267; -0.8417203; -0.0429666; 7.9311009; -0.5521338
49.9029571; 97.8126940; -6.0150668; -0.9247081; -0.0410807; 7.7908993; 1.9003789
51.8990754; 99.4491867; -4.8792310; -1.0004863; -0.0330396; 8.2634662; 1.9892053
53.8951936; 101.1524645; -3.8549354; -1.0545708; -0.0221182; 8.7307647; 1.4842747
55.8913119; 102.9176217; -2.8977593; -1.0905111; -0.0139040; 9.0637646; -0.6586165
57.8874302; 104.6869853; -2.0001060; -1.1091923; -0.0051356; 8.9175375; -1.5766100
59.8835485; 106.4757481; -1.1152076; -1.1099173; 0.0059489; 8.5573521; -2.3810840
61.8796668; 108.2634205; -0.2041385; -1.0847034; 0.0188434; 7.9826327; -2.5185431
63.8757851; 110.0078920; 0.7707857; -1.0326538; 0.0337569; 7.3258313; -1.8060429
65.8719033; 111.6931924; 1.8699643; -0.9478320; 0.0485131; 6.8159852; -0.7272307
67.8680216; 113.2483813; 3.1150721; -0.8388950; 0.0625770; 6.5995740; -0.7378275
69.8641399; 114.6622033; 4.5730179; -0.6968101; 0.0771800; 6.3725030; -0.7174527
71.8602582; 115.7923282; 6.1810705; -0.5195761; 0.1013222; 6.1436596; -1.2756080
73.8563765; 116.5949894; 7.9604067; -0.3353045; 0.0839251; 5.7141950; -3.2035330
75.8524948; 117.1014301; 9.8987084; -0.1819307; 0.0661909; 4.4567660; 1.3088910
77.8486130; 117.3625837; 11.8394214; -0.1017863; 0.0186804; 5.0088088; 0.6797566
79.8447313; 117.5550547; 13.8846972; -0.0959854; -0.0112753; 5.2727521; -0.6051488
