# 0e2de8c8-df82-43e0-9f61-5ad3f116d666
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 38.7789451; -20.7387185; 1.9693750; 0.0361339; 9.8654671; 0.3628088
1.9978905; 36.9573654; -21.5793783; 2.0342570; 0.0280382; 9.9386692; 0.2194538
3.9957811; 35.1995070; -22.5131637; 2.0812961; 0.0200112; 9.9826868; 0.0865815
5.9936716; 33.4762360; -23.5185159; 2.1141512; 0.0129247; 9.9999998; 0.0000004
7.9915621; 31.7796544; -24.5684126; 2.1336520; 0.0066439; 9.9999999; -1.3018770
9.9894527; 30.0996579; -25.6383419; 2.1392072; -0.0018081; 9.7364255; -1.9234755
11.9873432; 28.4066722; -26.7081747; 2.1264361; -0.0114590; 9.3333914; -1.9706391
13.9852337; 26.6953038; -27.7341704; 2.0912512; -0.0235990; 8.9015703; -2.2337987
15.9831243; 24.9243252; -28.6852870; 2.0320220; -0.0357605; 8.3852360; -2.0814381
17.9810148; 23.0959558; -29.5021891; 1.9443383; -0.0511531; 7.8737038; -0.7658614
19.9789053; 21.1837422; -30.1347872; 1.8326871; -0.0618656; 7.6769132; -4.1567259
21.9767959; 19.2143381; -30.5240801; 1.6984820; -0.0651155; 6.5058151; -2.0887999
23.9746864; 17.2850652; -30.6556135; 1.5768024; -0.0766284; 5.8291718; 2.7971882
25.9725769; 15.2954426; -30.5028587; 1.4139569; -0.0672789; 6.7198359; 2.3168822
27.9704675; 13.3636099; -30.1016691; 1.3319817; -0.0237277; 7.3765811; 2.5060503
29.9683580; 11.3480500; -29.5775742; 1.3114623; 0.0067039; 8.0266791; 2.6975934
31.9662485; 9.4400726; -29.1112534; 1.3668752; 0.0578511; 8.6721722; -0.6996792
33.9641391; 7.4315133; -28.8267439; 1.4928737; 0.0565677; 8.5094539; -0.6973786
35.9620296; 5.5029465; -28.7636397; 1.5774614; 0.0361157; 8.3441137; 0.6340929
37.9599201; 3.5108816; -28.8370429; 1.6323638; 0.0205361; 8.4945823; 2.9837736
39.9578107; 1.4938586; -28.9983971; 1.6668753; 0.0144928; 9.1695384; 1.8270675
41.9557012; -0.4927621; -29.2140829; 1.6882672; 0.0067367; 9.5593408; 0.1864843
43.9535917; -2.4980109; -29.4597390; 1.6948295; -0.0000726; 9.5982367; -3.4890902
45.9514823; -4.4860458; -29.7029482; 1.6878555; -0.0072256; 8.8422003; -2.9746141
47.9493728; -6.4999142; -29.9172769; 1.6610550; -0.0210568; 8.1423952; -2.7526220
49.9472633; -8.4669116; -30.0406862; 1.5980993; -0.0443996; 7.4363785; -2.7924600
51.9451539; -10.4478020; -29.9917278; 1.4872218; -0.0646832; 6.6439195; -0.8983038
53.9430444; -12.4048762; -29.6915608; 1.3462944; -0.0755597; 6.3680642; -0.8010162
55.9409349; -14.3026727; -29.1024236; 1.1908317; -0.0828251; 6.1115919; -0.1117145
57.9388255; -16.0957926; -28.1976501; 1.0133188; -0.0889083; 6.0749625; 1.7183835
59.9367160; -17.6950732; -26.9985195; 0.8439947; -0.0815038; 6.6159998; 1.7648935
61.9346065; -19.0755703; -25.5578798; 0.6856821; -0.0773183; 7.1290660; 1.7366287
63.9324971; -20.2209942; -23.9139366; 0.5317739; -0.0756146; 7.6001822; 1.4849736
65.9303876; -21.1026215; -22.1218203; 0.3831912; -0.0738338; 7.9810024; 1.2961139
