# 84314fe7-b780-46c8-a5e0-2a04e5c9b237
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -10.3465856; 1.5665355; 1.3465605; -0.0193942; 9.9999999; 0.0000004
1.9961634; -12.2799286; 2.0439953; 1.3122285; -0.0150931; 10.0000000; 0.0000002
3.9923268; -14.2025408; 2.5808927; 1.2857748; -0.0119367; 10.0000000; 0.0000000
5.9884901; -16.1159125; 3.1649841; 1.2639107; -0.0099659; 10.0000000; 0.0000000
7.9846535; -18.0119173; 3.7855365; 1.2455734; -0.0084506; 10.0000000; 0.0000000
9.9808169; -19.9007369; 4.4392864; 1.2300363; -0.0071351; 10.0000000; 0.0000000
11.9769803; -21.7764046; 5.1185985; 1.2169998; -0.0059483; 10.0000000; 0.0000000
13.9731437; -23.6479712; 5.8222970; 1.2054075; -0.0056513; 10.0000000; 0.0000000
15.9693071; -25.5070129; 6.5450635; 1.1951987; -0.0038009; 10.0000000; 0.0000000
17.9654704; -27.3602408; 7.2814600; 1.1911078; -0.0003035; 10.0000000; 0.0000000
19.9616338; -29.2098898; 8.0184114; 1.1930144; 0.0021932; 10.0000000; 0.0000000
21.9577972; -31.0674525; 8.7500126; 1.1975391; 0.0003438; 10.0000000; 0.0000000
23.9539606; -32.9297639; 9.4825320; 1.1927256; -0.0051318; 10.0000000; 0.0000000
25.9501240; -34.7895443; 10.2327193; 1.1818073; -0.0058418; 10.0000000; 0.0000000
27.9462873; -36.6369772; 11.0036817; 1.1681495; -0.0086950; 10.0000000; 0.0000000
29.9424507; -38.4521800; 11.7988538; 1.1460166; -0.0133481; 10.0000000; 0.0000000
31.9386141; -40.2623432; 12.6407927; 1.1277895; -0.0046116; 10.0000000; 0.0000000
33.9347775; -42.0537197; 13.4952732; 1.1250810; 0.0001244; 10.0000000; 0.0000000
35.9309409; -43.8595048; 14.3564305; 1.1271500; 0.0020738; 10.0000000; 0.0000000
37.9271043; -45.6622645; 15.2066949; 1.1338620; 0.0045903; 10.0000000; 0.0000000
39.9232676; -47.4733625; 16.0405862; 1.1457333; 0.0075019; 10.0000000; 0.0000000
41.9194310; -49.3077884; 16.8520867; 1.1639348; 0.0107611; 10.0000000; 0.0000000
43.9155944; -51.1502382; 17.6197543; 1.1894600; 0.0148733; 10.0000000; 0.0000000
45.9117578; -53.0211372; 18.3346727; 1.2235038; 0.0190439; 10.0000000; 0.0000000
47.9079212; -54.9078271; 18.9742705; 1.2659537; 0.0236763; 10.0000000; 0.0000000
49.9040845; -56.8360914; 19.5284733; 1.3172317; 0.0276496; 10.0000000; 0.0000000
51.9002479; -58.7856602; 19.9733771; 1.3769517; 0.0316088; 10.0000000; 0.0000000
53.8964113; -60.7424214; 20.2919226; 1.4431018; 0.0352754; 10.0000000; 0.0000000
55.8925747; -62.7375310; 20.4741722; 1.5174755; 0.0387827; 10.0000000; 0.0000000
57.8887381; -64.7215119; 20.5006185; 1.5998132; 0.0452518; 10.0000000; 0.0000000
59.8849015; -66.7043029; 20.3503436; 1.6939584; 0.0477824; 10.0000000; 0.0000000
61.8810648; -68.6749998; 20.0110500; 1.7882406; 0.0466097; 10.0000000; 0.0000000
63.8772282; -70.5983944; 19.4917543; 1.8807452; 0.0466131; 10.0000000; 0.0000000
65.8733916; -72.4734799; 18.7918126; 1.9763668; 0.0496016; 10.0000000; 0.0000000
67.8695550; -74.2653852; 17.9111441; 2.0806269; 0.0550000; 10.0000000; 0.0000000
69.8657184; -75.9434282; 16.8446250; 2.1946461; 0.0590711; 10.0000000; -0.0715375
71.8618817; -77.4877087; 15.5877020; 2.3134896; 0.0598207; 9.9857097; -0.1552462
73.8580451; -78.8794652; 14.1463265; 2.4342822; 0.0608821; 9.9546273; -1.6925519
75.8542085; -80.0765314; 12.5632909; 2.5532008; 0.0586899; 9.6092344; -2.0069438
77.8503719; -81.0867862; 10.8407365; 2.6687209; 0.0576143; 9.1828650; -2.3789014
79.8465353; -81.8917686; 9.0143362; 2.7843596; 0.0580946; 8.6502982; -2.4160296
