# x_m,y_m,w_tr_right_m,w_tr_left_m
-17.7092,-44.2758,1.4992,1.4992
-14.8901,-45.1821,1.6354,1.6354
-13.3988,-45.2487,1.6292,1.6292
-10.4412,-44.8634,1.5409,1.5409
-7.5651,-44.0546,1.5138,1.5138
-4.7558,-43.0342,1.5060,1.5060
-1.9789,-41.9282,1.5047,1.5047
0.7910,-40.8044,1.5048,1.5048
3.5619,-39.6830,1.5057,1.5057
6.3418,-38.5845,1.5079,1.5079
9.1399,-37.5331,1.5122,1.5122
11.9646,-36.5556,1.5196,1.5196
14.8224,-35.6801,1.5313,1.5313
17.7164,-34.9333,1.5489,1.5489
20.6449,-34.3366,1.5725,1.5725
23.6065,-33.9444,1.6237,1.6237
28.0602,-34.2054,1.5566,1.5566
30.8810,-35.1767,1.5042,1.5042
33.5249,-36.5682,1.5012,1.5012
36.0514,-38.1649,1.5068,1.5068
38.5300,-39.8356,1.5084,1.5084
41.0355,-41.4654,1.5033,1.5033
43.6646,-42.8830,1.5030,1.5030
46.5322,-43.6327,1.6367,1.6367
48.0094,-43.5128,1.5537,1.5537
50.4417,-41.8661,1.5716,1.5716
52.2509,-39.4907,1.6401,1.6401
53.9570,-37.0366,1.6224,1.6224
55.7754,-34.6646,1.5957,1.5957
57.6581,-32.3429,1.5902,1.5902
59.5084,-29.9956,1.6074,1.6074
61.2015,-27.5344,1.6617,1.6617
61.9393,-26.2332,1.6442,1.6442
63.0420,-23.4634,1.5406,1.5406
63.3961,-20.5069,1.5021,1.5021
63.0299,-17.5423,1.5189,1.5189
62.9999,-14.5659,1.5144,1.5144
63.8725,-11.7180,1.6171,1.6171
66.1243,-7.8537,1.6134,1.6134
67.8900,-5.4421,1.5922,1.5922
69.6712,-3.0418,1.6032,1.6032
71.3021,-0.5392,1.6595,1.6595
71.9942,0.7864,1.6386,1.6386
72.9010,3.6211,1.5181,1.5181
72.7825,6.5897,1.5316,1.5316
71.7472,9.3820,1.6521,1.6521
71.0048,10.6796,1.6404,1.6404
69.2014,13.0578,1.5607,1.5607
67.0769,15.1571,1.5195,1.5195
64.7114,16.9815,1.5015,1.5015
62.1443,18.5091,1.5041,1.5041
59.3973,19.6806,1.5339,1.5339
56.5103,20.4432,1.5911,1.5911
53.5462,20.8043,1.6632,1.6632
52.0507,20.8530,1.6542,1.6542
49.0665,20.7190,1.5981,1.5981
46.1101,20.2892,1.5545,1.5545
43.2107,19.5680,1.5228,1.5228
40.4001,18.5548,1.5041,1.5041
37.7144,17.2461,1.5008,1.5008
35.1962,15.6388,1.5166,1.5166
32.8948,13.7350,1.5549,1.5549
30.8535,11.5546,1.6089,1.6089
29.0056,9.2057,1.6366,1.6366
27.1965,6.8264,1.6237,1.6237
25.2557,4.5552,1.5711,1.5711
23.0046,2.5975,1.5084,1.5084
20.3383,1.2714,1.5254,1.5254
17.4265,0.6139,1.5900,1.5900
14.4594,0.2575,1.6259,1.6259
11.4768,0.0667,1.6580,1.6580
6.9965,-0.0035,1.6624,1.6624
4.0074,0.0137,1.6579,1.6579
1.0183,0.0122,1.6662,1.6662
-0.4784,-0.0135,1.6769,1.6769
-3.4644,-0.1425,1.6533,1.6533
-6.4416,-0.4051,1.6253,1.6253
-9.4008,-0.8227,1.5974,1.5974
-12.3327,-1.4024,1.5722,1.5722
-15.2288,-2.1408,1.5513,1.5513
-18.0811,-3.0335,1.5332,1.5332
-20.8740,-4.0968,1.5163,1.5163
-23.5750,-5.3747,1.5026,1.5026
-26.1093,-6.9547,1.5052,1.5052
-28.2579,-9.0145,1.5966,1.5966
-29.0161,-10.2941,1.6232,1.6232
-29.2928,-13.1942,1.5557,1.5557
-28.1660,-15.9560,1.6110,1.6110
-27.4533,-18.8470,1.5109,1.5109
-27.3447,-21.8319,1.5002,1.5002
-27.4356,-24.8197,1.5004,1.5004
-27.3373,-27.8049,1.5091,1.5091
-26.6819,-30.7148,1.5730,1.5730
-25.5225,-33.4660,1.6482,1.6482
-24.8203,-34.7875,1.6748,1.6748
-23.2866,-37.3525,1.6446,1.6446
-21.6764,-39.8708,1.6344,1.6344
-19.9189,-42.2856,1.5738,1.5738
