epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7378,1.58187,2.06356,0.98626,0.73778,0.33458,0.36316,0.18965,1.53529,1.12568,0.93597,0.00332016,0.00332016,0.00332016
2,57.9356,1.44452,1.16327,0.94212,0.61067,0.39086,0.41806,0.20709,1.48163,0.94509,0.90553,0.00665313,0.00665313,0.00665313
3,79.3233,1.45055,1.07679,0.93618,0.62153,0.4321,0.45973,0.24664,1.35143,0.8468,0.90105,0.00998463,0.00998463,0.00998463
4,100.814,1.40585,0.98865,0.93199,0.7057,0.4403,0.48399,0.26671,1.30491,0.76132,0.89127,0.00999505,0.00999505,0.00999505
5,122.075,1.33701,0.89123,0.91757,0.72984,0.46709,0.51027,0.28291,1.24679,0.74052,0.88156,0.0099912,0.0099912,0.0099912
6,143.446,1.28086,0.81957,0.90903,0.71641,0.48859,0.52814,0.30141,1.1852,0.66918,0.86843,0.00998626,0.00998626,0.00998626
7,164.575,1.23311,0.77374,0.8985,0.70658,0.50078,0.54218,0.3131,1.14362,0.65343,0.86407,0.00998021,0.00998021,0.00998021
8,185.734,1.21423,0.73593,0.89179,0.73664,0.50017,0.5557,0.32704,1.11673,0.63127,0.85863,0.00997308,0.00997308,0.00997308
9,206.717,1.18271,0.706,0.8867,0.69938,0.50594,0.55787,0.33663,1.07026,0.61733,0.85393,0.00996485,0.00996485,0.00996485
10,227.881,1.1655,0.68101,0.88501,0.71725,0.51399,0.56234,0.3304,1.11817,0.62274,0.85754,0.00995552,0.00995552,0.00995552
11,248.78,1.14061,0.65885,0.88051,0.72914,0.52236,0.57076,0.34695,1.06942,0.58871,0.85362,0.00994511,0.00994511,0.00994511
12,269.877,1.1272,0.6444,0.87794,0.73813,0.53171,0.57925,0.33953,1.10965,0.57936,0.85535,0.00993362,0.00993362,0.00993362
13,290.837,1.1127,0.634,0.87496,0.75469,0.53339,0.58696,0.35881,1.02989,0.55343,0.84507,0.00992103,0.00992103,0.00992103
